Regenerative Action,🔮 Circles Subdomain,🔮 Circles Domain,🔮 Circles Topic,Mandala Pathway,Liberate Action,Oppress Action,Success Indicators,Circulation Check
Participatory Land and Property Commons,accounting-and-regulation,📉 Economics,🏦 Land and Property,Liberation,"<p>Create a “Participatory Land and Property Commons” where all land is held in a community land trust, with property rights structured as time-bound leases that require active community participation in stewardship decisions.</p>","<p>Enforce private property regimes that treat land as a commodity to be hoarded, speculated on, and excluded from community use, with participation limited to those who can afford to buy in.</p>",<p>• 100% of land held in community trust • High participation in land-use planning assemblies • Reduction in land speculation and displacement</p>,"<p>Yes — Land is a shared birthright. Power to “own land” is transformed into a temporary, participatory stewardship role.</p>"
Participatory Livability Charter,habitat-and-settlements,🌱 Ecology,🏘️ Topography and Livability,Liberation,"<p>Co-create a “Participatory Livability Charter” that defines community standards for human-scale, biophilic design—decided through consensus, not expert decree or developer profit.</p>","<p>Impose top-down urban planning that prioritizes density, speed, and car-centric design over human well-being, silencing community input on what “livable” even means.</p>","<p>• 80%+ community participation in charter creation/review ""• High satisfaction with walkability• Reduction in urban heat island effect</p>","<p>Yes — Decisions about “livability” are made collectively. Power to define place is circulated, not hoarded.</p>"
Participatory Livelihood Charter,labor-and-welfare,📉 Economics,🗳️ Livelihoods and Work,Awakening,"<p>Co-create a “Participatory Livelihood Charter” that defines community standards for meaningful, dignified work—decided through consensus, not market dictate.</p>","<p>Impose top-down labor markets that treat human time as a commodity to be minimized, silencing community input on what “meaningful work” even means.</p>",<p>• 80%+ community participation in charter creation/review • High rates of vocation-aligned work • Reduction in burnout and alienation</p>,"<p>Yes — Decisions about “livelihoods” are made collectively, not dictated by profit logic.</p>"
Participatory Mobility Design System,technology-and-infrastructure,📉 Economics,🖥️ Transport and Movement,Liberation,"<p>Implement a “Participatory Mobility Design System” where all transport infrastructure (bike lanes, transit, walkways) is co-designed with residents through rotating working groups, ensuring authority serves community needs, not car-centric or corporate interests.</p>","<p>Grant permanent authority to engineers and developers to design transport systems that prioritize speed, throughput, and private vehicle use—excluding community input and reinforcing dependence on extractive systems.</p>",<p>• 90% of residents involved in mobility planning • High usage of non-motorized transport • Reduction in traffic violence and emissions</p>,"<p>Yes — Authority over movement is co-created, not imposed by distant planners.</p>"
Participatory Prosperity Charter,production-and-resourcing,📉 Economics,⚒️ Prosperity and Resilience,Awakening,<p>Co-create a “Participatory Prosperity Charter” that defines prosperity as community-wide resilience and well-being—not GDP—and uses consensus to guide all production decisions.</p>,"<p>Impose top-down economic plans that prioritize investor returns and GDP growth, silencing community input on what “prosperity” even means.</p>","<p>• 80%+ community participation in charter creation/review• Prosperity metrics aligned with well-being, not extraction• High trust in economic decision-making</p>","<p>Yes — Prosperity is a shared, evolving definition. Power to decide “what is enough” is circulated, not hoarded by elites.</p>"
Participatory Reciprocity Charter,exchange-and-transfer,📉 Economics,💱 Reciprocity and Mutuality,Awakening,"<p>Co-create a “Participatory Reciprocity Charter” that defines the community’s shared values for mutual aid and exchange—not as charity, but as a sacred web of interdependence—and uses consensus to guide all economic decisions.</p>","<p>Impose top-down “reciprocity” programs that frame mutual aid as a handout from the powerful, silencing community input on what “mutuality” even means.</p>","<p>• 80%+ community participation in charter creation/review• High trust scores in “Reciprocity &amp; Mutuality Index”• Reduction in transactional, extractive exchanges</p>","<p>Yes — Reciprocity is a shared, evolving covenant. Power to define “mutual aid” is circulated, not hoarded by institutions.</p>"
Participatory Security Mandate System,security-and-accord,☀️ Politics,🛡️ Human Security and Defense,Liberation,"<p>Replace top-down “national defense” with a community-approved “Security Mandate System” where all human security protocols (e.g., crisis response, mutual aid) require explicit, time-bound community consent and regular public review.</p>","<p>Centralize “security” in unaccountable military or police forces that operate under permanent, unquestionable mandates justified by perpetual “existential threat.”</p>",<p>• 100% of security mandates publicly logged with clear scope and expiration • 80%+ community approval in mandate renewal votes • Drastic reduction in use of force incidents</p>,"<p>Yes — Security is a temporary, transparent trust granted by the community—not a permanent right of the state.</p>"
Participatory Settlement Pattern Charter,built-form-and-transport,🌱 Ecology,🚅 Orientation and Spread,Liberation,"<p>Co-create a “Participatory Settlement Pattern Charter” that defines community standards for human-scale, clustered development—decided through consensus, not expert decree or developer profit.</p>","<p>Impose top-down urban planning that prioritizes sprawl, car dependency, and speculative growth over human well-being, silencing community input on what “livable” even means.</p>",<p>• 80%+ community participation in charter creation/review • High satisfaction with walkability and green space • Reduction in urban sprawl and car dependency</p>,"<p>Yes — Decisions about “orientation” are made collectively. Power to define place is circulated, not hoarded.</p>"
Participatory Signal Curation,communication-and-critique,☀️ Politics,📰 Interchange and Expression,Awakening,"<p>Establish community-led “Signal Curation” teams that filter, verify, and highlight important information for public discourse—using transparent criteria and rotating membership to prevent gatekeeping.</p>","<p>Allow a handful of corporate or state media outlets to monopolize the “public square,” using algorithms and advertising to amplify outrage, misinformation, and distraction while silencing nuanced dialogue.</p>",<p>• 90% of community members can correctly name a trusted local information source • High trust scores in “Information Integrity Index” • Diverse perspectives represented in curated feeds</p>,"<p>Yes — Curation is a shared transparent and temporary role—not a permanent power. Information flows are a commons not a commodity.""</p>"
Participatory Surplus Mobilization Charter,wealth-and-distribution,📉 Economics,💸 Accumulation and Mobilization,Liberation,"<p>Co-create a “Participatory Surplus Mobilization Charter” that defines how community surplus is invested in shared resilience—decided through consensus, not elite decree.</p>","<p>Impose top-down investment decisions that prioritize shareholder returns over community well-being, silencing input on how surplus is mobilized.</p>",<p>• 100% of surplus investments publicly logged with community rationale • High trust in “Surplus Mobilization Index” • Reduction in extractive or speculative investments</p>,"<p>Yes — Decisions about surplus are made collectively. Power to invest is circulated, not hoarded.</p>"
Participatory Systems Decision-Making,interconnection-and-cosmology,✴️ Spirituality,🛰️ Systems Thinking,Awakening,"<p>Co-create a “Participatory Systems Decision-Making” protocol that requires all major decisions to map ripple effects across ecological, social, and economic systems—through consensus, not expert decree.</p>","<p>Impose top-down decisions that ignore systemic interdependence, silencing input on what “systems thinking” even means.</p>",<p>• 100% of major decisions include systems impact maps • High trust in “Interconnection Index” • Reduction in unintended consequences</p>,"<p>Yes — Decisions are made collectively. Power to “see systems” is circulated, not hoarded.</p>"
Participatory Tech Appropriateness Charter,technology-and-infrastructure,📉 Economics,🖥️ Appropriateness and Robustness,Awakening,"<p>Co-create a “Participatory Tech Appropriateness Charter” that defines community standards for technology adoption—prioritizing repairability, simplicity, and ecological fit—through consensus, not expert decree.</p>","<p>Impose top-down technology mandates that prioritize corporate profit, planned obsolescence, and complexity, silencing community input on what “robust” even means.</p>","<p>• 80%+ community participation in charter creation/review ""• High adoption of repairable• Reduction in e-waste and digital dependency</p>","<p>Yes — Decisions about “appropriate tech” are made collectively, not dictated by market or state.</p>"
Participatory Toxicity Charter,emission-and-waste,🌱 Ecology,🛢️ Pollution and Contamination,Liberation,"<p>Co-create a “Participatory Toxicity Charter” that defines community standards for handling contaminants—decided through consensus, not expert decree or corporate influence.</p>","<p>Impose top-down contamination management that prioritizes cost over community health, silencing input on what “safe” even means.</p>",<p>• 80%+ community participation in charter creation/review • High trust in “Toxicity Transparency Index” • Zero unmonitored pollution sources</p>,"<p>Yes — Decisions about “pollution” are made collectively. Power to define safety is circulated, not hoarded.</p>"
Participatory Tradition Charter,memory-and-projection,🪢 Culture,👻 Tradition and Authenticity,Awakening,"<p>Co-create a “Participatory Tradition Charter” that defines how cultural traditions evolve through community consensus—not as static relics, but as living, adaptive practices.</p>","<p>Impose top-down “authenticity” standards that freeze traditions in time, silencing innovation and excluding those who reinterpret cultural forms.</p>",<p>• 80%+ community participation in charter creation/review • High trust in “Living Traditions Index” • Reduction in cultural gatekeeping and exclusion</p>,"<p>Yes — Decisions about “tradition” are made collectively. Power to define authenticity is circulated, not hoarded.</p>"
Participatory Truth & Recognition Process,dialogue-and-reconciliation,☀️ Politics,🕊️ Process and Recognition,Healing,"<p>Establish a “Participatory Truth &amp; Recognition Process” where all parties in a conflict co-design the dialogue format, ensuring the process itself validates their dignity and agency before any resolution is attempted.</p>","<p>Impose a top-down mediation process that prioritizes speed and closure over recognition, forcing participants into rigid formats that erase their lived experience and agency.</p>",<p>• 90%+ of participants report feeling “seen and heard” in the process  • High rate of voluntary participation in future dialogues  • Reduction in re-traumatization during reconciliation</p>,"<p>Yes — Process design is shared, not hoarded. Power to define “recognition” is circulated among those most affected.</p>"
Participatory Utility Stewardship,consumption-and-use,📉 Economics,🌽 Water and Electricity,Liberation,"<p>Implement “Participatory Utility Stewardship” where community members co-manage water and electricity systems through rotating roles, transparent dashboards, and collective conservation goals.</p>","<p>Structure utility access through opaque, centralized systems that exclude community input, prioritize profit over equity, and punish conservation as “lost revenue.”</p>",<p>• 100% of utility management decisions involve community input • High trust in utility governance • Reduced per-capita consumption without hardship</p>,"<p>Yes — Participation is structured to include all users as stewards, not passive consumers.</p>"
Participatory Vitality Charter,embodiment-and-sustenance,🌱 Ecology,🏋️ Physical Health and Vitality,Healing,"<p>Co-create a “Participatory Vitality Charter” that defines community standards for physical health—not as individual optimization, but as collective flourishing—through consensus decision-making.</p>","<p>Impose top-down health mandates that treat the body as a site of control, prioritizing metrics over meaning and silencing community input on what “vitality” even means.</p>",<p>• 80%+ community participation in charter creation/review • High trust in “Vitality Index” • Reduction in health-based stigma and shame</p>,"<p>Yes — Decisions about “health” are made collectively. Power to define vitality is circulated, not hoarded.</p>"
Pleasure & Mental Flourishing Guild,wellbeing-and-health,🪢 Culture,🧘 Mental Health and Pleasure,Healing,"<p>Form a “Pleasure &amp; Mental Flourishing Guild” that centers joy, creativity, and emotional balance as core community health metrics—replacing pathology-focused models with pleasure-centered support.</p>","<p>Enforce a pathology model that treats mental health as individual dysfunction, stigmatizes pleasure as “frivolous,” and silences community-based emotional healing.</p>","<p>• High community scores on mental flourishing and pleasure metrics • Low rates of stigma around emotional expression ""• Reduction in crisis-based</p>","<p>Yes — Authority over “mental health” serves flourishing, not control.</p>"
Pollinator & Insect Accountability Ledger,flora-and-fauna,🌱 Ecology,🦖 Plants and Insects,Liberation,"<p>Maintain a public “Pollinator &amp; Insect Accountability Ledger” that tracks the health of insect populations and holds the community accountable for pesticide use, habitat loss, and restoration efforts.</p>","<p>Grant industrial agriculture permanent authority to use pesticides that decimate insect life, while hiding ecological costs and excluding community oversight.</p>",<p>• Real-time public dashboard of insect population trends • High community trust in pollinator protection • Steady recovery of native insect guilds</p>,<p>Yes — Authority ensures those who benefit from pollination also bear responsibility for healing.</p>
Reciprocal Accountability Pacts,law-and-justice,☀️ Politics,⚖️ Obligations and Responsibilities,Liberation,"<p>Establish “Reciprocal Accountability Pacts” where every mandate includes explicit, mutual obligations: the community agrees to support the mandate-holder, and the mandate-holder agrees to regular transparency and service. Authority is framed as a sacred trust, not a right.</p>","<p>Create one-sided legal obligations that burden the marginalized (e.g., welfare requirements) while exempting the powerful (e.g., corporate liability shields), framing authority as a privilege to be wielded, not a service to be offered.</p>","<p>• 100% of mandates include clear, mutual accountability pacts  • High fulfillment rates of community support commitments  • Reduction in perceived corruption or favoritism</p>","<p>Yes — Authority is a two-way covenant. Power circulates through reciprocal care not one-way extraction.""</p>"
Reciprocal Accountability Pacts,ethics-and-accountability,☀️ Politics,✊ Obligation and Responsibility,Liberation,"<p>Establish “Reciprocal Accountability Pacts” where every mandate includes explicit, mutual obligations: the community agrees to support the mandate-holder, and the mandate-holder agrees to regular transparency and service. Responsibility is framed as a sacred trust, not a burden.</p>","<p>Create one-sided obligations that burden the marginalized (e.g., welfare requirements) while exempting the powerful (e.g., corporate liability shields), framing responsibility as a tool of control, not care.</p>","<p>• 100% of mandates include clear, mutual accountability pacts  • High fulfillment rates of community support commitments  • Reduction in perceived corruption or favoritism</p>",<p>Yes — Obligation is a two-way covenant. Power to hold others accountable is balanced by the obligation to support them.</p>
Redemptive Story Commons,meaning-and-narrative,✴️ Spirituality,🌀 Redemptive Narrative,Healing,"<p>Establish a “Redemptive Story Commons” where all community members can share stories of failure, harm, and healing—ensuring power over narrative is shared, not hoarded by dominant voices.</p>","<p>Concentrate storytelling power in media that marginalizes, stereotypes, or erases non-dominant identities, treating redemption as a commodity granted by elites.</p>",<p>• High participation in story-sharing across demographics • Reduction in shame and isolation • Strong community trust in narrative healing</p>,"<p>Yes — Power over “redemption” is a shared commons, not a gatekept privilege.</p>"
Restorative Accountability & Redemption Pathway,dialogue-and-reconciliation,☀️ Politics,🕊️ Remembrance and Redemption,Healing,"<p>Implement a “Restorative Accountability &amp; Redemption Pathway” where those who caused harm engage in a structured, community-supported process of making amends, with clear milestones and a formal ceremony of reintegration—transforming punishment into healing.</p>","<p>Use public shaming, permanent labels (“offender,” “traitor”), and social exile as tools of control, offering no path to repair or reintegration, and framing redemption as weakness or betrayal.</p>",<p>• 80%+ of harm cases include a completed redemption pathway  • High rates of successful reintegration and repaired relationships  • Reduction in cycles of retaliation and trauma</p>,"<p>Yes — Accountability is a healing journey, not a life sentence. Power to “be redeemed” is a community right, not a privilege.</p>"
Restorative Mandate Revocation,law-and-justice,☀️ Politics,⚖️ Judgement and Penalty,Healing,"<p>Replace punitive penalties with a “Restorative Mandate Revocation” process: when harm occurs, the focus is on repairing relationships and reintegrating the responsible party, with mandate revocation as a last resort and always paired with a path to restoration.</p>","<p>Use punishment as a tool of social control—harsh penalties for the powerless, leniency for the powerful—that reinforce hierarchy, generate fear, and replace healing with retribution.</p>",<p>• 80%+ of harm cases resolved without mandate revocation  • High rates of successful reintegration and repaired relationships  • Reduction in cycles of retaliation and trauma</p>,<p>Yes — Judgement is a community healing process. Power to “penalize” is transformed into power to restore.</p>
Restorative Mandate Revocation,ethics-and-accountability,☀️ Politics,✊ Acquittal and Consequence,Healing,"<p>Replace punitive consequences with a “Restorative Mandate Revocation” process: when ethical breaches occur, the focus is on repairing harm, reintegrating the responsible party, and updating systems to prevent recurrence—with acquittal as a formal restoration of trust.</p>","<p>Use punishment as a tool of social control—harsh penalties for the powerless, leniency for the powerful—that reinforce hierarchy, generate fear, and replace healing with retribution and permanent exclusion.</p>",<p>• 80%+ of ethical breaches resolved without permanent exclusion  • High rates of successful reintegration and repaired relationships  • Reduction in cycles of retaliation and trauma</p>,"<p>Yes — Consequence is a community healing process. Power to “be acquitted” is a path to restoration, not a privilege.</p>"
Right-Relation Accountability Protocol,values-and-compass,✴️ Spirituality,⛲ Humility and Right Size,Awakening,<p>Create a “Right-Relation Accountability Protocol” that holds individuals and groups accountable for staying within their ecological and communal scale—ensuring mandates are revoked if they grow beyond right size.</p>,"<p>Promote growth-at-all-costs ideologies that reward scale over sustainability, treating humility as “weakness” and hoarding power as “success.”</p>",<p>• High community trust in scale-appropriate action • Reduction in overreach and extraction • Steady increase in local resilience</p>,<p>Yes — Accountability ensures power remains in right relation to the whole.</p>
Rotating Mediation Guild,dialogue-and-reconciliation,☀️ Politics,🕊️ Mediation and Intercession,Liberation,"<p>Form a “Rotating Mediation Guild” of trained community members who serve short, time-bound terms as mediators, with mandatory rest periods and peer supervision—ensuring authority is temporary, accountable, and never accumulates into a professionalized caste.</p>","<p>Create a permanent class of professional mediators, arbitrators, or “conflict experts” who control the reconciliation process, charge fees for access, and position themselves as neutral authorities above the community.</p>",<p>• 100% of mediators serve fixed terms with rotation  • High satisfaction with mediator accessibility and cultural competence  • No mediator holds authority for more than one year consecutively</p>,"<p>Yes — Mediation is a shared, temporary service—not a permanent power role. Authority is circulated through structured rotation.</p>"
Rotating Retrofit & Repair Guild,habitat-and-settlements,🌱 Ecology,🏘️ Maintenance and Retrofitting,Liberation,"<p>Form a “Rotating Retrofit &amp; Repair Guild” of trained community members who share skills and tools to maintain and upgrade the built environment—ensuring authority over maintenance is temporary, accessible, and non-commodified.</p>","<p>Concentrate building maintenance in proprietary, costly services that exclude DIY culture and treat repair as a luxury rather than a right.</p>",<p>• High rate of community-led retrofitting and repair • Low participation in disposable building culture • Steady reduction in embodied carbon from new construction</p>,"<p>Yes — Authority over maintenance is shared through rotating, community-led stewardship.</p>"
Sanctuary Accountability Ledger,security-and-accord,☀️ Politics,🛡️ Refuge and Sanctuary,Liberation,"<p>Maintain a public “Sanctuary Accountability Ledger” that tracks all uses of community refuge spaces, ensuring they are used for protection—not surveillance or control—with clear protocols for community audit and redress if misused.</p>","<p>Use “sanctuary” spaces (e.g., shelters, detention centers) as sites of hidden control, with opaque operations, no oversight, and protocols that prioritize state interests over resident safety.</p>",<p>• 100% of sanctuary uses logged with public rationale • Regular community audits with transparent findings • High trust in sanctuary integrity</p>,"<p>Yes — Refuge is a transparent, accountable commons—not a hidden zone of control.</p>"
Shadow Integration Accountability Protocol,inner-knowing-and-introspection,✴️ Spirituality,🕉️ Shadow Work,Healing,<p>Create a “Shadow Integration Accountability Protocol” that holds space for individuals and groups to acknowledge hidden aspects of the self—with accountability to the community to prevent projection and harm.</p>,"<p>Enforce a culture of “positive thinking” that shames shadow material as “toxic” or “unspiritual,” driving it underground where it fuels hidden harm and hypocrisy.</p>",<p>• High participation in shadow work circles • Reduction in projection-based conflict • Strong community trust in emotional honesty</p>,"<p>Yes — Accountability ensures shadow work serves healing, not spiritual bypassing.</p>"
Soil Stewardship Commons,materials-and-energy,🌱 Ecology,🔋 Soil and Fertility,Liberation,"<p>Establish a “Soil Stewardship Commons” where all community members share responsibility for regenerating topsoil—ensuring power over fertility is distributed, not concentrated in industrial agribusiness.</p>","<p>Concentrate control of soil fertility in corporate agriculture that depletes topsoil for profit, excluding community input on land management.</p>",<p>• 100% of community land under regenerative soil practices • High participation in composting and soil-building • Steady increase in topsoil depth and microbial life</p>,"<p>Yes — Power over soil is a shared commons, not a commodity to be extracted.</p>"
Somatic Knowledge Commons,wellbeing-and-health,🪢 Culture,🧘 Bodies and Corporeal Knowledge,Healing,"<p>Establish a “Somatic Knowledge Commons” where all community members share and learn body-based wisdom (e.g., movement, pain management, intuition)—ensuring power over bodily knowledge is distributed, not centralized in clinical elites.</p>","<p>Gatekeep bodily knowledge through medical credentialism, pathologizing embodied intuition, and excluding non-Western or community-based practices as “unscientific.”</p>",<p>• High participation in somatic skill-sharing • Revitalization of traditional and emergent body wisdom • Reduction in somatic alienation and disconnection</p>,"<p>Yes — Power over “bodily knowledge” is a shared commons, not a professional monopoly.</p>"
Sovereign Harvesting Agreements,production-and-resourcing,📉 Economics,⚒️ Extraction and Harvesting,Liberation,"<p>Create “Sovereign Harvesting Agreements” where all resource extraction requires explicit, time-bound consent from both human and ecological stakeholders (e.g., via Council of All Beings), with real-time monitoring and immediate revocation for harm.</p>","<p>Grant permanent extraction rights to corporations through opaque deals, treating nature as a “resource inventory” to be depleted, with no meaningful community or ecological consent.</p>","<p>• 100% of extraction governed by public, revocable agreements • Regenerative harvest rates verified by ecological data • High community trust in resource governance</p>",<p>Yes — Harvesting is a sacred trust with clear boundaries and community control. Power over “resources” is shared with the more-than-human world.</p>
Sovereignty & Accountability Council,organization-and-governance,☀️ Politics,🦺 Authority and Sovereignty,Liberation,"<p>Form a randomly selected, short-term ""Sovereignty Council"" with the power to audit mandates, investigate breaches of charter, and propose sanctions—ensuring accountability is peer-based, not hierarchical.</p>","<p>Create unaccountable oversight bodies (e.g., ""Board of Directors,"" ""Security Council"") with permanent authority, secret deliberations, and immunity from community review.</p>","<p>• 100% of mandate audits completed on schedule ""• High trust scores in annual ""State of Our Democracy"" report"" • Reduction in perceived corruption or favoritism</p>","<p>Yes — Accountability flows horizontally through temporary randomized peers—not vertically through permanent enforcers.""</p>"
Stakeholder Mapping & Consultation Registry,representation-and-negotiation,☀️ Politics,☝️ Access and Consultation,Liberation,"<p>Maintain a public “Stakeholder Mapping &amp; Consultation Registry” that identifies who is affected by which decisions and ensures structured, accessible consultation processes are used before any mandate is created.</p>","<p>Claim “public consultation” while only engaging pre-selected, compliant stakeholders, or burying consultation requests in obscure channels to manufacture the illusion of inclusion.</p>",<p>• 100% of major decisions include documented stakeholder consultation • High satisfaction among marginalized groups with consultation quality • Reduction in policy reversals due to overlooked impacts</p>,"<p>Yes — Access is proactive, transparent, and structured. Power to be heard is guaranteed, not granted as a favor.</p>"
Transparent Composting Accountability Ledger,emission-and-waste,🌱 Ecology,🛢️ Processing and Composting,Liberation,<p>Maintain a public “Transparent Composting Accountability Ledger” that tracks all organic processing—from food scraps to humanure—with clear protocols for community oversight and redress if standards are violated.</p>,"<p>Grant authority to industrial processors that hide compost quality, externalize odors, and exclude community input on nutrient cycling.</p>",<p>• 100% of organic waste composted and returned to soil • High trust in soil safety and fertility • Steady increase in closed-loop fertility</p>,"<p>Yes — Accountability ensures composting serves ecological regeneration, not profit.</p>"
Transparent Discernment Accountability Ledger,inner-knowing-and-introspection,✴️ Spirituality,🕉️ Discernment,Awakening,<p>Maintain a public “Transparent Discernment Accountability Ledger” that tracks how collective decisions integrate intuitive and rational inputs—with clear protocols for community review and redress if authority is misused.</p>,"<p>Grant permanent authority to “rational” decision-makers who dismiss intuitive insights as “bias,” while hiding their own ideological assumptions behind jargon.</p>",<p>• 100% of major decisions include discernment logs • High community trust in decision integrity • Reduction in groupthink and blind spots</p>,"<p>Yes — Authority over “discernment” is transparent and revisable. Power to decide is shared, not hoarded.</p>"
Transparent Ethics Dashboard,ethics-and-accountability,☀️ Politics,✊ Observance and Visibility,Awakening,"<p>Maintain a real-time, public “Transparent Ethics Dashboard” that shows how decisions align with the community’s core values, with clear data on participation, dissent, and integration of objections—making ethics visible, not performative.</p>","<p>Claim “transparency” through superficial dashboards that obscure real decision-making behind jargon, selective data, and unactionable metrics, creating an illusion of accountability without substance.</p>",<p>• 100% of major decisions include public ethics alignment statements  • High community engagement with the dashboard  • Reduction in “ethics-washing” or performative compliance</p>,"<p>Yes — Observance is a shared, transparent practice. Power to “see ethics” is distributed, not gatekept.</p>"
Transparent Finance & Tax Ledger,exchange-and-transfer,📉 Economics,💱 Finance and Taxes,Liberation,"<p>Maintain a real-time, public “Transparent Finance &amp; Tax Ledger” that shows exactly how all community funds are raised (e.g., levies, contributions) and spent, with clear, accessible justifications for every allocation.</p>","<p>Obscure public finance behind complex budgets, hidden subsidies, and tax loopholes that benefit the powerful while burdening the marginalized, creating an illusion of transparency without substance.</p>",<p>• 100% of community financial flows publicly logged<br>• High community trust in financial governance<br>• Reduction in perceived corruption or favoritism</p>,"<p>Yes — Finance is a transparent, accountable commons. Power to “spend money” is shared, not hoarded by unaccountable authorities.</p>"
Transparent Fuel Transition Accountability,materials-and-energy,🌱 Ecology,🔋 Petroleum and Biofuels,Liberation,"<p>Create a “Transparent Fuel Transition Accountability” process that publicly tracks the phase-out of petroleum, with community oversight to ensure biofuels are truly regenerative, not extractive.</p>","<p>Promote “green” biofuels that displace food crops and indigenous land, while hiding true ecological costs and excluding community consent.</p>",<p>• Real-time public dashboard of fuel phase-out progress • Zero land-use conflict from biofuel production • High community trust in energy transition</p>,"<p>Yes — Accountability ensures the fuel transition serves ecological and social justice, not corporate greenwashing.</p>"
Transparent Health & Safety Accountability Ledger,labor-and-welfare,📉 Economics,🗳️ Health and Safety,Liberation,"<p>Maintain a public “Transparent Health &amp; Safety Accountability Ledger” that tracks workplace conditions, incidents, and responses—with clear protocols for community audit and redress if standards are violated.</p>","<p>Obscure workplace hazards behind corporate secrecy, blame workers for injuries, and deny accountability through legal loopholes and non-disclosure agreements.</p>",<p>• 100% of community workspaces meet safety standards • High trust in safety governance • Reduction in work-related injury and illness</p>,"<p>Yes — Accountability is transparent and community-led, not hidden or externalized.</p>"
Transparent Historical Ledger,memory-and-projection,🪢 Culture,👻 History and Records,Liberation,<p>Maintain a public “Transparent Historical Ledger” that records community history in the words of those who lived it—including harms and triumphs—with clear protocols for community correction and expansion.</p>,"<p>Control the historical narrative through official archives that erase marginalized voices, glorify power, and silence dissent—framing history as a fixed, expert-driven record.</p>",<p>• 100% of historical entries include community authorship • High trust in “Historical Integrity Index” • Reduction in historical amnesia and denial</p>,"<p>Yes — Authority over history is transparent and revisable. Power to “write the past” is shared, not hoarded.</p>"
Transparent Integrity Ledger,values-and-compass,✴️ Spirituality,⛲ Integrity and Wholeness,Awakening,<p>Maintain a public “Transparent Integrity Ledger” that tracks how decisions align with stated values—with clear protocols for community review and redress if authority fails to act.</p>,"<p>Grant permanent authority to leaders who preach values while practicing hypocrisy, hiding contradictions behind PR and power.</p>",<p>• 100% of major decisions include integrity alignment statements • High community trust in ethical governance • Reduction in values-washing</p>,"<p>Yes — Authority is transparent and revisable. Power to “be whole” is shared, not hoarded.</p>"
Transparent Mandate Ledger,organization-and-governance,☀️ Politics,🦺 Transparency and Clarity,Awakening,"<p>Maintain a real-time, public ""Mandate Ledger"" that shows who holds what authority, for what purpose, for how long—and how mandates can be revoked through clear, accessible processes.</p>","<p>Publish vague, jargon-filled bylaws or charters that obscure who has power, how it was granted, and how it can be challenged—creating an illusion of transparency without substance.</p>","<p>• 100% of mandates logged with clear scope, timeline, and revocation path • 80% of members can correctly explain how to revoke a mandate • No mandates operating beyond expiration without review</p>","<p>Yes — Mandates are legible temporary and revocable by design. Power cannot hide in ambiguity.""</p>"
Transparent Nourishment Accountability Ledger,embodiment-and-sustenance,🌱 Ecology,🏋️ Nutrition and Nourishment,Healing,"<p>Maintain a public “Transparent Nourishment Accountability Ledger” that tracks food quality, sourcing, and cultural integrity—holding the community accountable for equitable, nourishing access.</p>","<p>Hide food systems behind industrial supply chains that prioritize profit over nourishment, obscure true costs, and exclude community oversight.</p>",<p>• 100% of community food publicly logged with sourcing data • High trust in food sovereignty • Reduction in food insecurity and diet-related illness</p>,"<p>Yes — Accountability ensures nourishment serves dignity, not extraction.</p>"
Transparent Power Ledger,communication-and-critique,☀️ Politics,📰 News and Information,Liberation,"<p>Maintain a public, real-time “Power Ledger” that tracks who holds decision-making authority in all community institutions, how that power was granted, and how it is being used—with open data and plain-language summaries.</p>","<p>Obscure power structures behind jargon, bureaucracy, and “expert” language, creating an illusion of transparency while keeping real decision-making hidden from public view.</p>",<p>• 100% of institutional mandates logged in the Ledger • 80% of residents can correctly identify who holds power on a given issue • Reduction in “power vacuum” crises due to clear accountability</p>,"<p>Yes — Power is legible temporary and revocable by design. No one can hide in ambiguity.""</p>"
Transparent Reason Accountability Ledger,beliefs-and-ideas,🪢 Culture,🧿 Reason and Rationalization,Awakening,"<p>Maintain a “Transparent Reason Accountability Ledger” that requires all public arguments to disclose their underlying assumptions, cultural context, and emotional drivers—making authority serve clarity, not obfuscation.</p>","<p>Grant authority to “rational” arguments that hide their ideological biases behind jargon and false objectivity, while dismissing other ways of knowing as “emotional” or “irrational.”</p>",<p>• 100% of public decisions include transparent reasoning logs • High community trust in decision-making integrity • Reduction in weaponized rationality</p>,<p>Yes — Authority is accountable for its reasoning. Power to “be logical” is demystified and shared.</p>
Transparent Research Accountability Ledger,enquiry-and-learning,🪢 Culture,💡 Research and Application,Liberation,<p>Maintain a public “Transparent Research Accountability Ledger” that tracks all community research—from question to application—with clear protocols for community oversight and redress if authority is misused.</p>,"<p>Grant researchers permanent authority to define methods, ethics, and applications without community input, treating knowledge as a proprietary commodity rather than a shared resource.</p>",<p>• 100% of community research publicly logged with open data • High community trust in research integrity • Reduction in research that harms or excludes</p>,"<p>Yes — Authority over research is transparent and accountable. Power to “know” is shared, not hoarded.</p>"
Transparent Tech Accountability Ledger,technology-and-infrastructure,📉 Economics,🖥️ Education and Training,Liberation,"<p>Maintain a public “Transparent Tech Accountability Ledger” that tracks all community technology education—showing who is trained, in what, by whom, and with what outcomes—ensuring accountability for equitable access and skill development.</p>","<p>Obscure tech education behind paywalls, jargon, and gatekeeping, creating a permanent “digital underclass” while the powerful hoard technical literacy as a form of control.</p>",<p>• 100% of tech education programs publicly logged • High participation across demographics • Reduction in digital literacy gaps</p>,"<p>Yes — Accountability ensures tech education serves the whole community, not just an elite.</p>"
